EID,GPUTime (レs),GPUBusyCycles (cycles),TessellatorBusyCycles (cycles),VSBusyCycles (cycles),VSTime (レs),HSBusyCycles (cycles),HSTime (レs),DSBusyCycles (cycles),DSTime (レs),GSBusyCycles (cycles),GSTime (レs),PSBusyCycles (cycles),PSTime (レs),CSBusyCycles (cycles),CSTime (レs),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusyCycles (cycles),VSSALUBusyCycles (cycles),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusyCycles (cycles),HSSALUBusyCycles (cycles),DSVerticesIn,DSVALUInstCount,DSSALUInstCount,DSVALUBusyCycles (cycles),DSSALUBusyCycles (cycles),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusyCycles (cycles),GSSALUBusyCycles (cycles),PrimitiveAssemblyBusyCycles (cycles),PrimitivesIn,CulledPrims,ClippedPrims,PAStalledOnRasterizerCycles (cycles),PSPixelsOut,PSExportStallsCycles (cycles),PSVALUInstCount,PSSALUInstCount,PSVALUBusyCycles (cycles),PSSALUBusyCycles (cycles),CSThreadGroups,CSWavefronts,CSThreads,CSThreadGroupSize,CSVALUInsts,CSSALUInsts,CSVFetchInsts,CSSFetchInsts,CSVWriteInsts,CSFlatVMemInsts,CSVALUBusyCycles (cycles),CSSALUBusyCycles (cycles),CSMemUnitBusyCycles (cycles),CSMemUnitStalledCycles (cycles),CSWriteUnitStalledCycles (cycles),CSGDSInsts,CSLDSInsts,CSFlatLDSInsts,CSALUStalledByLDSCycles (cycles),CSLDSBankConflictCycles (cycles),TexUnitBusyCycles (cycles),TexTriFilteringCount,NoTexTriFilteringCount,TexVolFilteringCount,NoTexVolFilteringCount,TexAveAnisotropy,DepthStencilTestBusyCycles (cycles),HiZTilesAcceptedCount,HiZTilesRejectedCount,PreZTilesDetailCulledCount,PreZTilesDetailSurvivingCount,HiZQuadsCulledCount,HiZQuadsAcceptedCount,PreZQuadsCulledCount,PreZQuadsSurvivingCount,PostZQuadCount,PreZSamplesPassing,PreZSamplesFailingS,PreZSamplesFailingZ,PostZSamplesPassing,PostZSamplesFailingS,PostZSamplesFailingZ,ZUnitStalledCycles (cycles),DBMemRead (bytes),DBMemWritten (bytes),CBMemRead (bytes),CBColorAndMaskRead (bytes),CBMemWritten (bytes),CBColorAndMaskWritten (bytes),CBSlowPixelCount,L0TagConflictReadStalledCycles,L0TagConflictWriteStalledCycles,L0TagConflictAtomicStalledCycles,FetchSize (bytes),WriteSize (bytes),CacheHitCount,CacheMissCount,MemUnitBusyCycles (cycles),MemUnitStalledCycles (cycles),WriteUnitStalledCycles (cycles)
3329,4.32,9333.00,0.00,7109.00,3.29057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6970.00,72.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,608.00,0.00,608.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10816.00,0.00,20.00,169.00,109.00,0.00,0.00
3347,3.20,9285.00,0.00,7151.00,2.46453,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7077.00,72.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,864.00,0.00,864.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10816.00,0.00,20.00,169.00,109.00,0.00,0.00
3365,3.04,9129.00,0.00,6973.00,2.32204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6913.00,72.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,864.00,0.00,864.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10816.00,0.00,20.00,169.00,109.00,0.00,0.00
3383,3.52,9321.00,0.00,6906.00,2.60799,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6991.00,72.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,864.00,0.00,608.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10816.00,0.00,20.00,169.00,109.00,0.00,0.00
3401,3.20,9239.00,0.00,7000.00,2.4245,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6997.00,72.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,864.00,0.00,864.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10816.00,0.00,20.00,169.00,109.00,0.00,0.00
3419,3.20,9383.00,0.00,7109.00,2.42447,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7143.00,72.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,864.00,0.00,608.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10816.00,0.00,20.00,169.00,109.00,0.00,0.00
3437,5.92,9416.00,0.00,7101.00,4.46452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6981.00,72.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,608.00,0.00,864.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10816.00,0.00,20.00,169.00,109.00,0.00,0.00
3455,9.92,16526.00,0.00,14418.00,8.65464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10869.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13581.00,3623.00,3623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2237.00,0.00,38100.00,0.00,38100.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498240.00,0.00,220.00,7785.00,2237.00,0.00,0.00
3470,3.20,9972.00,0.00,7815.00,2.50782,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7619.00,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,768.00,0.00,768.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9792.00,0.00,2.00,153.00,109.00,0.00,0.00
3485,3.20,10224.00,0.00,7836.00,2.45258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7578.00,76.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,912.00,0.00,656.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11392.00,0.00,23.00,178.00,109.00,0.00,0.00
3503,9.44,16497.00,0.00,14193.00,8.12159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10869.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13284.00,3623.00,3623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2313.00,0.00,37888.00,0.00,38144.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498240.00,0.00,220.00,7785.00,2313.00,0.00,0.00
3518,3.52,10170.00,0.00,7979.00,2.76166,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7409.00,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,768.00,0.00,512.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9792.00,0.00,22.00,153.00,109.00,0.00,0.00
3533,3.20,10239.00,0.00,7979.00,2.49368,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7218.00,76.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,656.00,0.00,912.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11392.00,0.00,23.00,178.00,109.00,0.00,0.00
3551,8.96,16419.00,0.00,14197.00,7.74743,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10869.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13023.00,3623.00,3623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2531.00,0.00,37632.00,0.00,37844.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498240.00,0.00,220.00,7785.00,2531.00,0.00,0.00
3566,3.52,10368.00,0.00,8173.00,2.77478,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7677.00,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,768.00,0.00,768.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9792.00,0.00,22.00,153.00,109.00,0.00,0.00
3581,3.20,10314.00,0.00,7795.00,2.41846,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7688.00,76.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,912.00,0.00,768.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11392.00,0.00,23.00,178.00,109.00,0.00,0.00
3599,9.12,16938.00,0.00,14697.00,7.91337,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10869.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13495.00,3623.00,3623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2343.00,0.00,38100.00,0.00,37588.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498240.00,0.00,220.00,7785.00,2343.00,0.00,0.00
3614,3.68,10407.00,0.00,8214.00,2.90454,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7507.00,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,768.00,0.00,512.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9792.00,0.00,2.00,153.00,109.00,0.00,0.00
3629,3.36,10107.00,0.00,7923.00,2.63394,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7624.00,76.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,912.00,0.00,656.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11392.00,0.00,23.00,178.00,109.00,0.00,0.00
3647,8.96,16420.00,0.00,14200.00,7.7486,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10869.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13597.00,3623.00,3623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2129.00,0.00,38100.00,0.00,37588.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498240.00,0.00,220.00,7785.00,2129.00,0.00,0.00
3662,3.68,10041.00,0.00,7730.00,2.83302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7539.00,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,512.00,0.00,512.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9792.00,0.00,22.00,153.00,109.00,0.00,0.00
3677,3.36,10332.00,0.00,7830.00,2.54634,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7508.00,76.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,656.00,0.00,656.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11392.00,0.00,23.00,178.00,109.00,0.00,0.00
3695,9.28,16409.00,0.00,14118.00,7.98434,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10869.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13636.00,3623.00,3623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2533.00,0.00,38100.00,0.00,37888.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498240.00,0.00,220.00,7785.00,2533.00,0.00,0.00
3710,3.68,10271.00,0.00,8056.00,2.88639,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7626.00,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,768.00,0.00,768.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9792.00,0.00,22.00,153.00,109.00,0.00,0.00
3725,3.36,10187.00,0.00,7783.00,2.56708,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7467.00,76.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,768.00,0.00,656.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11392.00,0.00,23.00,178.00,109.00,0.00,0.00
3743,9.28,16457.00,0.00,13971.00,7.87816,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10869.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13267.00,3623.00,3623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2599.00,0.00,38100.00,0.00,38100.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498240.00,0.00,220.00,7785.00,2599.00,0.00,0.00
3758,3.68,10265.00,0.00,7896.00,2.83071,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7421.00,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,512.00,0.00,512.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9792.00,0.00,22.00,153.00,109.00,0.00,0.00
3773,5.76,10419.00,0.00,8049.00,4.44978,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7701.00,76.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,768.00,0.00,768.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11392.00,0.00,23.00,178.00,109.00,0.00,0.00
