C:\Users\USER\AppData\Local\Temp\RenderDoc\DX11_2024.02.26_13.47.00_frame9147.rdc - Frame #9147

 EID  | Event                                                 | Action #
8417  |   - DrawIndexed(1314)                                 | 511   
8432  |   - DrawIndexed(384)                                  | 512   
8450  |   - DrawIndexed(1314)                                 | 513   
8465  |   - DrawIndexed(384)                                  | 514   
8483  |   - DrawIndexed(1314)                                 | 515   
8498  |   - DrawIndexed(384)                                  | 516   
8516  |   - DrawIndexed(1314)                                 | 517   
8531  |   - DrawIndexed(384)                                  | 518   
8549  |   - DrawIndexed(1314)                                 | 519   
8564  |   - DrawIndexed(384)                                  | 520   
8582  |   - DrawIndexed(2250)                                 | 521   
8597  |   - DrawIndexed(372)                                  | 522   
8615  |   - DrawIndexed(2250)                                 | 523   
8630  |   - DrawIndexed(372)                                  | 524   
8648  |   - DrawIndexed(9984)                                 | 525   
8666  |   - DrawIndexed(9984)                                 | 526   
8684  |   - DrawIndexed(9984)                                 | 527   
8702  |   - DrawIndexed(9984)                                 | 528   
8720  |   - DrawIndexed(9984)                                 | 529   
8738  |   - DrawIndexed(9984)                                 | 530   
8756  |   - DrawIndexed(9984)                                 | 531   
8774  |   - DrawIndexed(9984)                                 | 532   
8792  |   - DrawIndexed(9984)                                 | 533   
8810  |   - DrawIndexed(9984)                                 | 534   
8828  |   - DrawIndexed(9984)                                 | 535   
8846  |   - DrawIndexed(9984)                                 | 536   
8864  |   - DrawIndexed(9984)                                 | 537   
8882  |   - DrawIndexed(9984)                                 | 538   
8900  |   - DrawIndexed(9984)                                 | 539   
8918  |   - DrawIndexed(9984)                                 | 540   
8936  |   - DrawIndexed(9984)                                 | 541   
8954  |   - DrawIndexed(9984)                                 | 542   
8972  |   - DrawIndexed(9984)                                 | 543   
8990  |   - DrawIndexed(9984)                                 | 544   
9008  |   - DrawIndexed(9984)                                 | 545   
9026  |   - DrawIndexed(9984)                                 | 546   
9044  |   - DrawIndexed(60)                                   | 547   
9062  |   - DrawIndexed(2304)                                 | 548   
9080  |   - DrawIndexed(78)                                   | 549   
9098  |   - DrawIndexed(72)                                   | 550   
9116  |   - DrawIndexed(102)                                  | 551   
9134  |   - DrawIndexed(132)                                  | 552   
